p_id,name,price,colour,brand,ratingcount,avg_rating,brand_id,occasion,pattern,print or pattern type,fabric,wash care,sustainable,body or garment size,length
18920518,Chemistry Women White Solid Mid-Rise Wide Leg Jeans,2599.0,White,Chemistry,0.0,0.0,171,Casual,Solid,Solid,Cotton,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Cropped
16294398,Chemistry Women Black Solid T-shirt with Joggers And Snood,2899.0,Black,Chemistry,3.0,3.0,171,Casual,Solid,Solid,Cotton,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
16294574,Chemistry Women Olive Green Solid T-shirt with Leggings & Snood,2699.0,Olive,Chemistry,6.0,4.0,171,Casual,Solid,Solid,Cotton,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
14372466,Chemistry Black Pure Cotton Ribbed Midi Pencil Skirt,1499.0,Black,Chemistry,65.0,4.092307691999999,171,Casual,Solid,Solid,Pure Cotton,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Midi
16898642,Chemistry Red Round Neck Smocked Puff Sleeve Top,1599.0,Red,Chemistry,32.0,4.375,171,Casual,Solid,Solid,Viscose Rayon,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
18473518,Chemistry Women Blue Mid Rise Flared Jeans,2699.0,Blue,Chemistry,0.0,0.0,171,Casual,Solid,Solid,Cotton,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
15689218,Chemistry Women Grey Solid High-Rise Slouchy Fit Clean Look Stretchable Jeans,2199.0,Grey,Chemistry,20.0,4.85,171,Casual,Solid,Solid,Cotton,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
14434642,Chemistry Women Grey Wide Leg Stretchable Jeans,2499.0,Grey,Chemistry,32.0,4.59375,171,Casual,Solid,Solid,Cotton,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
19183514,Chemistry Teal Blue Floral Print Tie-Up Neck Pure Cotton Top,1699.0,Teal,Chemistry,0.0,0.0,171,Casual,Printed,Floral,Pure Cotton,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
17011468,Chemistry Mustard Yellow Band Collar Regular Top,1599.0,Mustard,Chemistry,5.0,4.0,171,Casual,Solid,Solid,Viscose Rayon,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
