p_id,name,price,colour,brand,ratingcount,avg_rating,description,brand_id,occasion,pattern,print or pattern type,fabric,wash care,sustainable,body or garment size,length
6726577,Mast & Harbour Women Black Solid Pullover,1299.0,Black,Mast & Harbour,489.0,4.212678937,"Black solid pullover, has a round neck, long sleeves, ribbed vented hem, one pocketThe model (height 5'8"") is wearing a size S80% viscose, 20% nylonMachine-wash",554,Casual,Solid,Solid,Viscose Rayon,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
15497908,Mast & Harbour Teal Blue Pure Cotton Solid Basic Jumpsuit with Belt,2999.0,Teal,Mast & Harbour,43.0,4.581395349,"Teal blue solid basic jumpsuit, has a mock collar, snap-button placket, long sleeves, and 2 pocketsComes with a beltThe model (height 5'8) is wearing a size S100% CottonMachine wash",554,Casual,Solid,Solid,Cotton,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
6726634,Mast & Harbour Women Red Solid Pullover,1299.0,Red,Mast & Harbour,649.0,4.229583975,"Red solid pullover, has a round neck, long sleeves, straight hem, one pocket80% viscose, 20% nylonMachine-washThe model (height 5'8"") is wearing a size S",554,Casual,Solid,Solid,Viscose Rayon,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
18361784,Mast & Harbour Women Black Skinny Fit Mid-Rise Light Fade Stretchable Jeans,1999.0,Black,Mast & Harbour,0.0,0.0,"Dark shade,  light fade black jeans   Skinny fit,  mid-rise   Clean look   Stretchable   5 pocket   Length: regular  80% cotton, 19% polyester, 1% elastaneMachine washFit: Skinny FitStretchableSize worn by the model: 28Waist: 28""Hips: 34""Height: 5'6""",554,Casual,Solid,Solid,Cotton,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
14443390,Mast & Harbour Women Yellow Sweatshirt,1599.0,Yellow,Mast & Harbour,44.0,4.3636363639999995,"Yellow solid sweatshirt has a round neck, 2 insert pockets, long drop-shoulder sleeves, ribbed hem60% Cotton, 40% polyesterMachine washThe model (height 5'8) is wearing a size S",554,Casual,Solid,Solid,Cotton,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
15287642,Mast & Harbour Women Navy Blue Floral Printed Trousers,1699.0,Navy Blue,Mast & Harbour,13.0,4.230769231,"Navy blue woven trousers   Regular fit   Mid-rise   Length:  regular   Pattern: floral printed   Flat-front, with no pleats design   Feature:  plain   2 pockets   Fit: Regular Fit  The model (height 5'8) is wearing a size 28100% Viscose rayonMachine wash",554,Casual,Printed,Floral,Viscose Rayon,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
17729204,Mast & Harbour Rust & White Pure Cotton Typography Print Twisted Top,899.0,Rust,Mast & Harbour,0.0,0.0,"Rust and white regular top   Typography print   Round neck,  short,  regular sleeves   Twisted detail   Knitted  Size worn by the model: SChest: 32""Height: 5'5""100% CottonMachine wash",554,Casual,Printed,Typography,Pure Cotton,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
14485294,Mast & Harbour Women Green Solid Pocket Pullover,1299.0,Green,Mast & Harbour,19.0,3.947368421,"Green solid pullover, has a round neck, 1 pockets, long sleeves, ribbed hemViscose&nbsp;Machine washThe model (height 5'8) is wearing a size S",554,Casual,Solid,Solid,Viscose Rayon,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
15635518,Mast & Harbour Women Pink Pure Cotton Sweatshirt,1599.0,Pink,Mast & Harbour,0.0,0.0,"Pink solid sweatshirt has a hooded,  1 kangaroo pocket pockets, long sleeves,  closure, ribbed hem100% CottonMachine washThe model (height 5'8) is wearing a size S",554,Casual,Solid,Solid,Cotton,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
17197778,Mast & Harbour Women Pink Pure Cotton Pleated Trousers,2499.0,Pink,Mast & Harbour,0.0,0.0,"Pink knitted trousers   Regular fit   Mid-rise   Length:  regular   Pattern: solid   Pleated design   Feature:  plain   4 pockets  Regular FitSize worn by the model: 28Waist: 25""Hips: 35""Height: 5'9""Cotton  Machine wash",554,Casual,Solid,Solid,Cotton,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
18361846,Mast & Harbour Women Blue Boyfriend Fit Mid-Rise Light Fade Stretchable Jeans,1999.0,Blue,Mast & Harbour,0.0,0.0,"Light shade,  light fade blue jeans   Boyfriend fit,  mid-rise   Clean look   Stretchable   5 pocket   Length: regular  Fit: Boyfriend FitStretchableThe model (height 5'8) is wearing a size 2880% cotton, 19% polyester, 1% elastaneMachine wash",554,Casual,Solid,Solid,Cotton,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
11607038,Mast & Harbour Women Blue Skinny Fit High-Rise Clean Look Printed Detail Stretchable Jeans,1699.0,Blue,Mast & Harbour,101.0,4.178217822,"Blue medium wash 5-pocket high-rise jeans, clean look, heavy fade, has a button and zip closure, and printed detail waistband with belt loops98% Cotton and 2% elastaneMachine-washSkinny FitStretchableThe model (height 5'8"") is wearing a size 28",554,Casual,Solid,Solid,Cotton,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
17197774,Mast & Harbour Women Navy Blue Solid Pleated Trousers,2299.0,Navy Blue,Mast & Harbour,0.0,0.0,Navy blue woven trousersRegular fitMid-riseTie-up detailLength: regularPattern: solidPleated designFeature: plain2 pockets100% Viscose rayonMachine wash Fit: Regular Fit  The model (height 5'8) is wearing a size 28,554,Casual,Solid,Solid,Viscose Rayon,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
13391828,Mast & Harbour Women Red Solid Pure Cotton Top With Lace Insert Detail,899.0,Red,Mast & Harbour,94.0,4.20212766,Red regular lace insert detail&nbsp;topsolidknittedround neckgathered and pleated around the necksleevelessThe model (height 5'8) is wearing a size SPure cotton  Machine wash,554,Casual,Solid,Solid,Pure Cotton,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
18318490,Mast & Harbour Women White & Black Striped Extended Sleeves Top,1099.0,White,Mast & Harbour,22.0,3.8636363639999995,"White and black regular top   Vertical striped   V-neck,  short,  extended sleeves   Lace inserts detail   Woven  Cotton  Machine washSize worn by the model: SChest: 32""Height: 5'5""",554,Casual,Striped,Vertical Stripes,Pure Cotton,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
18361808,Mast & Harbour Women Blue Boyfriend Fit Mildly Distressed Light Fade Stretchable Jeans,1999.0,Blue,Mast & Harbour,0.0,0.0,"Medium shade,  light fade blue jeans   Boyfriend fit,  mid-rise   Mildly distressed   Stretchable   5 pocket   Length: regular  80% Cotton, 19% Polyester, 1% ElastaneMachine washFit: Boyfriend FitStretchableThe model (height 5'8) is wearing a size 28",554,Casual,Solid,Solid,Cotton,Hand Wash,Regular,To-Fit Denotes Body Measurements in,Regular
11302826,Mast & Harbour Women Taupe & White Striped Basic Jumpsuit,2199.0,Taupe,Mast & Harbour,157.0,4.394904459,"Taupe and white striped basic jumpsuit with ruffled and wrap detail, has a shoulder straps, two pockets, and concealed zip closureMaterial: 53% linen, 47% cottonMachine WashThe model (height 5'8'') is wearing a size S",554,Casual,Striped,Solid,Linen,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
12144188,Mast & Harbour Women Wine Coloured Solid Pullover with Lace Inserts Detail,1799.0,Burgundy,Mast & Harbour,268.0,4.138059701,"Wine coloured solid pullover, has a round neck, long sleeves with lace inserts detail, and ribbed hemMaterial: 80% viscose, 20% nylon&nbsp;Machine WashThe model (height 5'8"") is wearing a size S",554,Casual,Solid,Solid,Viscose Rayon,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
